;;;;;;п;;;;;;неп;;;;;;;;;;;;
37;83;24;19;37;41;37;0;0;0;37;0;0;83;24;19;0;41;0;0;1;1;0;0;2
59;77;43;43;118;38;0;0;43;43;0;0;59;77;0;0;118;38;0;0;0;0;0;0;0
6;65;40;22;6;130;6;0;0;0;6;0;0;65;40;22;0;130;0;0;0;1;0;0;1
63;77;76;8;63;51;63;0;0;0;63;0;0;77;76;8;0;51;0;0;0;1;0;0;1
74;47;97;26;222;23;0;0;0;0;0;0;74;47;97;26;222;23;0;0;0;1;0;1;2
48;24;17;7;24;36;0;24;0;0;24;0;48;0;17;7;0;36;0;0;1;1;0;1;3
27;39;77;35;27;13;27;0;0;0;27;0;0;39;77;35;0;13;0;0;0;1;0;1;2
35;41;6;21;52;41;0;41;0;0;0;41;35;0;6;21;52;0;1;0;1;1;0;0;3
46;32;95;3;23;32;0;32;0;0;0;32;46;0;95;3;23;0;0;0;0;1;1;0;2
34;43;72;42;17;43;0;43;0;0;0;43;34;0;72;42;17;0;1;0;0;0;1;0;2
2;57;76;39;4;57;0;57;0;0;0;57;2;0;76;39;4;0;1;0;0;0;1;0;2
61;90;53;26;61;135;61;0;0;0;61;0;0;90;53;26;0;135;0;0;0;1;0;0;1
89;95;54;7;89;95;89;95;0;0;89;95;0;0;54;7;0;0;0;0;0;1;0;0;1
9;64;76;12;9;21;9;0;0;0;9;0;0;64;76;12;0;21;0;0;0;1;0;1;2
38;60;40;25;12;180;0;0;0;0;0;0;38;60;40;25;12;180;0;0;0;1;1;0;2
89;49;74;2;44;49;0;49;0;0;0;49;89;0;74;2;44;0;0;0;0;1;0;0;1
7;87;92;45;4;261;0;0;0;0;0;0;7;87;92;45;4;261;1;0;0;0;1;0;2
15;34;76;21;10;51;0;0;0;0;0;0;15;34;76;21;10;51;1;1;0;1;1;0;4
3;54;48;25;3;27;3;0;0;0;3;0;0;54;48;25;0;27;0;0;0;1;0;1;2
55;87;22;23;55;261;55;0;0;0;55;0;0;87;22;23;0;261;0;0;1;1;0;0;2
10;72;80;47;6;108;0;0;0;0;0;0;10;72;80;47;6;108;1;0;0;0;1;0;2
59;24;45;50;59;24;59;24;0;0;59;24;0;0;45;50;0;0;0;0;0;0;0;0;0
1;12;39;14;3;12;0;12;0;0;0;12;1;0;39;14;3;0;1;0;0;1;1;0;3
37;8;44;4;37;8;37;8;0;0;37;8;0;0;44;4;0;0;0;0;0;1;0;0;1
14;7;80;25;14;10;14;0;0;0;14;0;0;7;80;25;0;10;0;1;0;1;0;1;3
33;7;47;41;22;21;0;0;0;0;0;0;33;7;47;41;22;21;1;1;0;0;1;1;4
32;67;83;33;16;134;0;0;0;0;0;0;32;67;83;33;16;134;1;0;0;1;1;0;3
7;42;92;2;10;28;0;0;0;0;0;0;7;42;92;2;10;28;1;0;0;1;1;1;4
41;31;35;50;41;31;41;31;0;0;41;31;0;0;35;50;0;0;0;0;1;0;0;0;1
77;43;41;38;77;86;77;0;0;0;77;0;0;43;41;38;0;86;0;0;0;0;0;0;0
20;16;63;40;13;48;0;0;0;0;0;0;20;16;63;40;13;48;1;1;0;0;1;0;3
61;57;19;31;30;85;0;0;0;0;0;0;61;57;19;31;30;85;0;0;1;1;1;0;3
84;79;94;25;252;158;0;0;0;0;0;0;84;79;94;25;252;158;0;0;0;1;0;0;1
83;56;41;26;41;28;0;0;41;0;41;0;83;56;0;26;0;28;0;0;0;1;0;1;2
96;85;46;7;64;85;0;85;0;0;0;85;96;0;46;7;64;0;0;0;0;1;0;0;1
30;14;35;15;20;21;0;0;0;0;0;0;30;14;35;15;20;21;1;1;1;1;1;1;6
29;21;74;35;29;14;29;0;0;0;29;0;0;21;74;35;0;14;0;1;0;1;0;1;3
50;54;55;42;50;54;50;54;0;0;50;54;0;0;55;42;0;0;0;0;0;0;0;0;0
74;80;21;27;24;53;0;0;0;0;0;0;74;80;21;27;24;53;0;0;1;1;1;0;3
13;98;40;37;8;294;0;0;0;0;0;0;13;98;40;37;8;294;1;0;0;0;1;0;2
38;30;50;42;57;30;0;30;0;0;0;30;38;0;50;42;57;0;0;0;0;0;0;0;0
87;84;31;12;43;84;0;84;0;0;0;84;87;0;31;12;43;0;0;0;1;1;0;0;2
71;76;73;29;35;228;0;0;0;0;0;0;71;76;73;29;35;228;0;0;0;1;1;0;2
9;12;17;44;4;24;0;0;0;0;0;0;9;12;17;44;4;24;1;1;1;0;1;1;5
77;81;73;47;77;27;77;0;0;0;77;0;0;81;73;47;0;27;0;0;0;0;0;1;1
48;33;39;27;144;16;0;0;0;0;0;0;48;33;39;27;144;16;0;1;0;1;0;1;3
41;79;45;50;41;52;41;0;0;0;41;0;0;79;45;50;0;52;0;0;0;0;0;0;0
18;89;93;5;18;59;18;0;0;0;18;0;0;89;93;5;0;59;0;0;0;1;0;0;1
75;37;21;49;112;37;0;37;0;0;0;37;75;0;21;49;112;0;0;0;1;0;0;0;1
98;81;51;21;98;81;98;81;0;0;98;81;0;0;51;21;0;0;0;0;0;1;0;0;1
51;22;57;6;51;66;51;0;0;0;51;0;0;22;57;6;0;66;0;1;0;1;0;0;2
93;9;20;40;93;6;93;0;0;0;93;0;0;9;20;40;0;6;0;1;1;0;0;1;3
98;41;83;19;98;41;98;41;0;0;98;41;0;0;83;19;0;0;0;0;0;1;0;0;1
34;1;72;32;102;1;0;1;0;0;0;1;34;0;72;32;102;0;1;0;0;1;0;0;2
9;58;43;49;3;58;0;58;0;0;0;58;9;0;43;49;3;0;1;0;0;0;1;0;2
23;36;58;21;34;108;0;0;0;0;0;0;23;36;58;21;34;108;1;1;0;1;1;0;4
53;5;40;30;53;2;53;0;0;0;53;0;0;5;40;30;0;2;0;1;0;1;0;1;3
95;62;66;49;285;62;0;62;0;0;0;62;95;0;66;49;285;0;0;0;0;0;0;0;0
23;91;62;14;11;91;0;91;0;0;0;91;23;0;62;14;11;0;1;0;0;1;1;0;3
37;27;38;8;37;13;37;0;0;0;37;0;0;27;38;8;0;13;0;1;0;1;0;1;3
75;39;51;13;50;19;0;0;0;0;0;0;75;39;51;13;50;19;0;0;0;1;0;1;2
23;69;80;17;7;69;0;69;0;0;0;69;23;0;80;17;7;0;1;0;0;1;1;0;3
21;92;59;38;21;276;21;0;0;0;21;0;0;92;59;38;0;276;0;0;0;0;0;0;0
37;45;93;18;55;90;0;0;0;0;0;0;37;45;93;18;55;90;0;0;0;1;0;0;1
96;82;11;9;32;82;0;82;0;0;0;82;96;0;11;9;32;0;0;0;1;1;1;0;3
61;29;49;19;183;29;0;29;0;0;0;29;61;0;49;19;183;0;0;0;0;1;0;0;1
9;6;3;42;9;9;9;0;0;0;9;9;0;6;3;42;0;0;0;1;1;0;0;0;2
65;60;45;50;32;60;0;60;0;0;0;60;65;0;45;50;32;0;0;0;0;0;1;0;1
94;82;93;48;62;123;0;0;0;0;0;0;94;82;93;48;62;123;0;0;0;0;0;0;0
85;72;38;43;56;144;0;0;0;0;0;0;85;72;38;43;56;144;0;0;0;0;0;0;0
12;18;89;10;36;18;0;18;0;0;0;18;12;0;89;10;36;0;1;0;0;1;1;0;3
41;2;42;6;123;1;0;0;0;0;0;0;41;2;42;6;123;1;0;1;0;1;0;1;3
75;48;21;16;37;16;0;0;0;16;0;16;75;48;21;0;37;0;0;0;1;0;0;0;1
35;98;71;49;35;196;35;0;0;0;35;0;0;98;71;49;0;196;0;0;0;0;0;0;0
60;73;98;25;60;146;60;0;0;0;60;0;0;73;98;25;0;146;0;0;0;1;0;0;1
19;58;98;27;9;58;0;58;0;0;0;58;19;0;98;27;9;0;1;0;0;1;1;0;3
38;43;92;32;38;21;38;0;0;0;38;0;0;43;92;32;0;21;0;0;0;1;0;1;2
92;42;100;16;30;14;0;0;0;0;0;0;92;42;100;16;30;14;0;0;0;1;1;1;3
31;58;34;10;10;116;0;0;0;10;10;0;31;58;34;0;0;116;1;0;1;0;0;0;2
9;64;7;2;6;64;0;64;0;0;0;64;9;0;7;2;6;0;1;0;1;1;1;0;4
36;3;93;30;54;3;0;3;0;0;0;3;36;0;93;30;54;0;1;0;0;1;0;0;2
49;74;77;37;73;49;49;0;0;0;0;49;0;74;77;37;73;0;0;0;0;0;0;0;0
46;29;39;35;23;14;0;0;0;0;0;0;46;29;39;35;23;14;0;1;0;1;1;1;4
5;1;51;34;1;1;0;1;0;0;1;1;5;0;51;34;0;0;1;0;0;1;0;0;2
41;9;53;21;41;6;41;0;0;0;41;0;0;9;53;21;0;6;0;1;0;1;0;1;3
11;69;60;19;5;34;0;0;0;0;0;0;11;69;60;19;5;34;1;0;0;1;1;1;4
84;17;1;24;28;11;0;0;0;0;0;0;84;17;1;24;28;11;0;1;1;1;1;1;5
40;8;88;5;120;2;0;0;0;0;0;0;40;8;88;5;120;2;0;1;0;1;0;1;3
85;76;65;19;85;25;85;0;0;0;85;0;0;76;65;19;0;25;0;0;0;1;0;1;2
92;73;91;9;92;219;92;0;0;0;92;0;0;73;91;9;0;219;0;0;0;1;0;0;1
29;94;68;12;29;94;29;94;0;0;29;94;0;0;68;12;0;0;0;0;0;1;0;0;1
59;97;89;19;19;48;0;0;0;19;19;0;59;97;89;0;0;48;0;0;0;0;0;0;0
61;21;72;32;61;14;61;0;0;0;61;0;0;21;72;32;0;14;0;1;0;1;0;1;3
97;55;69;9;64;82;0;0;0;0;0;0;97;55;69;9;64;82;0;0;0;1;0;0;1
54;4;54;1;18;4;54;4;54;0;0;4;0;0;0;1;18;0;0;0;0;1;1;0;2
39;30;17;18;39;90;39;0;0;0;39;0;0;30;17;18;0;90;0;1;1;1;0;0;3
95;39;13;46;95;39;95;39;0;0;95;39;0;0;13;46;0;0;0;0;1;0;0;0;1
49;98;22;24;49;49;49;0;0;0;49;49;0;98;22;24;0;0;0;0;1;1;0;0;2
80;64;9;4;160;32;0;0;0;0;0;0;80;64;9;4;160;32;0;0;1;1;0;1;3
95;85;62;40;190;170;0;0;0;0;0;0;95;85;62;40;190;170;0;0;0;0;0;0;0
73;64;12;27;48;21;0;0;0;0;0;0;73;64;12;27;48;21;0;0;1;1;0;1;3
75;97;38;11;75;48;75;0;0;0;75;0;0;97;38;11;0;48;0;0;0;1;0;0;1
42;8;92;3;42;2;42;0;0;0;42;0;0;8;92;3;0;2;0;1;0;1;0;1;3
95;79;48;15;95;79;95;79;0;0;95;79;0;0;48;15;0;0;0;0;0;1;0;0;1
98;19;59;11;65;19;0;19;0;0;0;19;98;0;59;11;65;0;0;0;0;1;0;0;1
92;22;100;26;184;22;0;22;0;0;0;22;92;0;100;26;184;0;0;0;0;1;0;0;1
16;88;23;11;10;29;0;0;0;0;0;0;16;88;23;11;10;29;1;0;1;1;1;1;5
78;72;76;50;26;48;0;0;0;0;0;0;78;72;76;50;26;48;0;0;0;0;1;0;1
87;30;14;21;58;30;0;30;0;0;0;30;87;0;14;21;58;0;0;0;1;1;0;0;2
70;15;46;22;70;30;70;0;0;0;70;0;0;15;46;22;0;30;0;1;0;1;0;1;3
25;12;19;31;25;8;25;0;0;0;25;0;0;12;19;31;0;8;0;1;1;1;0;1;4
89;24;51;33;267;12;0;0;0;0;0;0;89;24;51;33;267;12;0;1;0;1;0;1;3
1;14;77;38;2;14;0;14;0;0;0;14;1;0;77;38;2;0;1;0;0;0;1;0;2
69;40;46;41;23;40;0;40;0;0;0;40;69;0;46;41;23;0;0;0;0;0;1;0;1
40;60;79;40;120;180;40;0;0;40;0;0;0;60;79;0;120;180;0;0;0;0;0;0;0
15;1;81;3;22;1;0;1;0;0;0;1;15;0;81;3;22;0;1;0;0;1;1;0;3
56;32;64;37;37;48;0;0;0;37;37;0;56;32;64;0;0;48;0;1;0;0;0;0;1
3;36;23;8;6;54;0;0;0;0;0;0;3;36;23;8;6;54;1;1;1;1;1;0;5
21;56;38;6;31;37;0;0;0;0;0;0;21;56;38;6;31;37;1;0;0;1;1;0;3
23;98;46;42;34;196;0;0;0;0;0;0;23;98;46;42;34;196;1;0;0;0;1;0;2
26;54;18;30;13;81;0;0;0;0;0;0;26;54;18;30;13;81;1;0;1;1;1;0;4
77;41;25;36;38;13;0;0;0;0;0;0;77;41;25;36;38;13;0;0;1;1;0;1;3
50;81;40;18;150;54;0;0;0;0;0;0;50;81;40;18;150;54;0;0;0;1;0;0;1
53;87;63;8;53;130;53;0;0;0;53;0;0;87;63;8;0;130;0;0;0;1;0;0;1
54;59;95;34;162;88;0;0;0;0;0;0;54;59;95;34;162;88;0;0;0;1;0;0;1
39;98;76;20;117;98;0;98;0;0;0;98;39;0;76;20;117;0;0;0;0;1;0;0;1
40;31;97;16;40;31;40;31;0;0;40;31;0;0;97;16;0;0;0;0;0;1;0;0;1
100;33;56;32;100;33;100;33;0;0;100;33;0;0;56;32;0;0;0;0;0;1;0;0;1
42;30;13;18;63;10;0;0;0;0;0;0;42;30;13;18;63;10;0;1;1;1;0;1;4
17;46;49;6;34;30;0;0;0;0;0;0;17;46;49;6;34;30;1;0;0;1;1;1;4
3;14;56;22;2;14;0;14;0;0;0;14;3;0;56;22;2;0;1;0;0;1;1;0;3
41;80;65;10;41;80;41;80;0;0;41;80;0;0;65;10;0;0;0;0;0;1;0;0;1
20;89;78;31;10;267;0;0;0;0;0;0;20;89;78;31;10;267;1;0;0;1;1;0;3
7;79;62;8;14;158;0;0;0;0;0;0;7;79;62;8;14;158;1;0;0;1;1;0;3
52;78;83;15;52;78;52;78;0;0;52;78;0;0;83;15;0;0;0;0;0;1;0;0;1
27;46;30;4;81;138;0;0;0;0;0;0;27;46;30;4;81;138;1;0;1;1;0;0;3
76;10;75;31;114;15;0;0;0;0;0;0;76;10;75;31;114;15;0;1;0;1;0;1;3
15;71;57;14;15;35;15;0;0;0;15;0;0;71;57;14;0;35;0;0;0;1;0;1;2
46;48;52;6;46;48;46;48;0;0;46;48;0;0;52;6;0;0;0;0;0;1;0;0;1
79;98;97;11;26;65;0;0;0;0;0;0;79;98;97;11;26;65;0;0;0;1;1;0;2
55;2;6;20;82;1;0;0;0;0;0;0;55;2;6;20;82;1;0;1;1;1;0;1;4
54;21;10;47;18;7;0;0;0;0;0;0;54;21;10;47;18;7;0;1;1;0;1;1;4
94;44;7;49;31;22;0;0;0;0;0;0;94;44;7;49;31;22;0;0;1;0;1;1;3
90;1;35;13;180;0;0;0;0;0;0;0;90;1;35;13;180;0;0;1;1;1;0;1;4
28;1;98;40;9;1;0;1;0;0;0;1;28;0;98;40;9;0;1;0;0;0;1;0;2
72;21;55;50;72;63;72;0;0;0;72;0;0;21;55;50;0;63;0;1;0;0;0;0;1
90;34;81;8;30;11;0;0;0;0;0;0;90;34;81;8;30;11;0;1;0;1;1;1;4
13;98;31;40;26;32;0;0;0;0;0;0;13;98;31;40;26;32;1;0;1;0;1;1;4
13;38;68;41;4;76;0;0;0;0;0;0;13;38;68;41;4;76;1;0;0;0;1;0;2
36;68;39;28;18;136;0;0;0;0;0;0;36;68;39;28;18;136;1;0;0;1;1;0;3
34;69;84;28;34;138;34;0;0;0;34;0;0;69;84;28;0;138;0;0;0;1;0;0;1
4;65;33;36;12;65;0;65;0;0;0;65;4;0;33;36;12;0;1;0;1;1;1;0;4
83;100;87;17;55;66;0;0;0;0;0;0;83;100;87;17;55;66;0;0;0;1;0;0;1
63;90;71;49;21;90;0;90;0;0;0;90;63;0;71;49;21;0;0;0;0;0;1;0;1
12;96;89;31;24;48;0;0;0;0;0;0;12;96;89;31;24;48;1;0;0;1;1;0;3
52;18;44;8;34;9;0;0;0;0;0;0;52;18;44;8;34;9;0;1;0;1;1;1;4
45;93;16;1;135;46;0;0;0;0;0;0;45;93;16;1;135;46;0;0;1;1;0;0;2
69;78;90;4;69;52;69;0;0;0;69;0;0;78;90;4;0;52;0;0;0;1;0;0;1
3;77;61;46;9;51;0;0;0;0;0;0;3;77;61;46;9;51;1;0;0;0;1;0;2
66;51;45;11;33;17;0;0;0;0;0;0;66;51;45;11;33;17;0;0;0;1;1;1;3
66;65;58;28;99;97;0;0;0;0;0;0;66;65;58;28;99;97;0;0;0;1;0;0;1
93;17;41;6;62;51;0;0;0;0;0;0;93;17;41;6;62;51;0;1;0;1;0;0;2
11;98;18;45;3;49;0;0;0;0;0;0;11;98;18;45;3;49;1;0;1;0;1;0;3
74;97;74;21;74;32;74;0;74;0;74;0;0;97;0;21;0;32;0;0;0;1;0;1;2
94;6;19;24;282;3;0;0;0;0;0;0;94;6;19;24;282;3;0;1;1;1;0;1;4
82;52;17;39;82;78;82;0;0;0;82;0;0;52;17;39;0;78;0;0;1;0;0;0;1
48;80;24;19;24;80;0;80;24;0;24;80;48;0;0;19;0;0;0;0;0;1;0;0;1
85;68;61;35;85;22;85;0;0;0;85;0;0;68;61;35;0;22;0;0;0;1;0;1;2
19;70;53;46;9;46;0;0;0;46;0;46;19;70;53;0;9;0;1;0;0;0;1;0;2
40;45;2;7;40;135;40;0;0;0;40;0;0;45;2;7;0;135;0;0;1;1;0;0;2
7;75;9;31;7;225;7;0;0;0;7;0;0;75;9;31;0;225;0;0;1;1;0;0;2
8;17;9;1;5;17;0;17;0;0;0;17;8;0;9;1;5;0;1;0;1;1;1;0;4
85;54;99;19;170;54;0;54;0;0;0;54;85;0;99;19;170;0;0;0;0;1;0;0;1
83;47;24;23;83;47;83;47;0;0;83;47;0;0;24;23;0;0;0;0;1;1;0;0;2
66;7;69;35;22;7;0;7;0;0;0;7;66;0;69;35;22;0;0;0;0;1;1;0;2
44;68;99;37;29;34;0;0;0;0;0;0;44;68;99;37;29;34;0;0;0;0;1;1;2
79;67;22;47;79;201;79;0;0;0;79;0;0;67;22;47;0;201;0;0;1;0;0;0;1
42;93;11;48;21;31;0;0;0;0;0;0;42;93;11;48;21;31;0;0;1;0;1;1;3
11;37;62;21;11;37;11;37;0;0;11;37;0;0;62;21;0;0;0;0;0;1;0;0;1
15;45;27;18;30;90;0;0;0;0;0;0;15;45;27;18;30;90;1;0;1;1;1;0;4
47;89;67;45;47;89;47;89;0;0;47;89;0;0;67;45;0;0;0;0;0;0;0;0;0
64;35;45;18;192;105;0;0;0;0;0;0;64;35;45;18;192;105;0;1;0;1;0;0;2
46;59;93;44;46;177;46;0;0;0;46;0;0;59;93;44;0;177;0;0;0;0;0;0;0
15;80;35;34;15;240;15;0;0;0;15;0;0;80;35;34;0;240;0;0;1;1;0;0;2
70;44;73;28;210;44;0;44;0;0;0;44;70;0;73;28;210;0;0;0;0;1;0;0;1
34;86;8;18;22;86;0;86;0;0;0;86;34;0;8;18;22;0;1;0;1;1;1;0;4
10;31;10;23;10;62;10;0;10;0;10;0;0;31;0;23;0;62;0;1;0;1;0;0;2
23;42;11;7;69;42;0;42;0;0;0;42;23;0;11;7;69;0;1;0;1;1;0;0;3
91;16;18;40;91;8;91;0;0;0;91;0;0;16;18;40;0;8;0;1;1;0;0;1;3
37;48;59;4;18;32;0;0;0;0;0;0;37;48;59;4;18;32;0;0;0;1;1;1;3
83;36;36;14;249;24;0;36;36;0;0;0;83;0;0;14;249;24;0;0;0;1;0;1;2
47;44;26;46;31;44;0;44;0;0;0;44;47;0;26;46;31;0;0;0;1;0;1;0;2
85;14;51;9;255;28;0;0;0;0;0;0;85;14;51;9;255;28;0;1;0;1;0;1;3
92;49;97;14;92;16;92;0;0;0;92;0;0;49;97;14;0;16;0;0;0;1;0;1;2
37;96;20;19;74;144;0;0;0;0;0;0;37;96;20;19;74;144;0;0;1;1;0;0;2
46;69;15;21;46;46;46;0;0;0;46;46;0;69;15;21;0;0;0;0;1;1;0;0;2
22;25;22;21;22;12;22;0;22;0;22;0;0;25;0;21;0;12;0;1;0;1;0;1;3
74;87;7;6;24;87;0;87;0;0;0;87;74;0;7;6;24;0;0;0;1;1;1;0;3
98;40;62;34;98;40;98;40;0;0;98;40;0;0;62;34;0;0;0;0;0;1;0;0;1
94;1;29;46;141;1;0;1;0;0;0;1;94;0;29;46;141;0;0;0;1;0;0;0;1
85;44;90;32;85;22;85;0;0;0;85;0;0;44;90;32;0;22;0;0;0;1;0;1;2
90;73;60;15;90;219;90;0;0;0;90;0;0;73;60;15;0;219;0;0;0;1;0;0;1
33;4;69;47;33;2;33;0;0;0;33;0;0;4;69;47;0;2;0;1;0;0;0;1;2
55;63;25;9;110;126;0;0;0;0;0;0;55;63;25;9;110;126;0;0;1;1;0;0;2
90;17;11;48;45;25;0;0;0;0;0;0;90;17;11;48;45;25;0;1;1;0;0;1;3
44;52;16;26;44;26;44;0;0;26;44;26;0;52;16;0;0;0;0;0;1;0;0;0;1
88;23;26;4;264;23;0;23;0;0;0;23;88;0;26;4;264;0;0;0;1;1;0;0;2
32;71;81;1;64;47;0;0;0;0;0;0;32;71;81;1;64;47;1;0;0;1;0;0;2
34;95;27;43;51;95;0;95;0;0;0;95;34;0;27;43;51;0;1;0;1;0;0;0;2
15;37;29;36;15;111;15;0;0;0;15;0;0;37;29;36;0;111;0;0;1;1;0;0;2
88;25;23;47;58;16;0;0;0;0;0;0;88;25;23;47;58;16;0;1;1;0;0;1;3
63;20;25;24;63;10;63;0;0;0;63;0;0;20;25;24;0;10;0;1;1;1;0;1;4
66;42;67;47;66;14;66;0;0;0;66;0;0;42;67;47;0;14;0;0;0;0;0;1;1
68;96;8;42;22;288;0;0;0;0;0;0;68;96;8;42;22;288;0;0;1;0;1;0;2
67;17;33;26;33;17;0;17;33;0;33;17;67;0;0;26;0;0;0;0;0;1;0;0;1
7;92;20;47;7;92;7;92;0;0;7;92;0;0;20;47;0;0;0;0;1;0;0;0;1
16;2;10;24;48;1;0;0;0;0;0;0;16;2;10;24;48;1;1;1;1;1;0;1;5
53;1;8;4;79;1;0;1;0;0;0;1;53;0;8;4;79;0;0;0;1;1;0;0;2
68;36;26;38;102;24;0;0;0;0;0;0;68;36;26;38;102;24;0;1;1;0;0;1;3
36;60;29;3;36;60;36;60;0;0;36;60;0;0;29;3;0;0;0;0;1;1;0;0;2
72;1;37;35;108;0;0;0;0;0;0;0;72;1;37;35;108;0;0;1;0;1;0;1;3
66;58;59;28;33;38;0;0;0;0;0;0;66;58;59;28;33;38;0;0;0;1;1;0;2
56;44;91;11;28;44;0;44;0;0;0;44;56;0;91;11;28;0;0;0;0;1;1;0;2
86;68;29;4;172;68;0;68;0;0;0;68;86;0;29;4;172;0;0;0;1;1;0;0;2
54;99;74;49;18;99;0;99;0;0;0;99;54;0;74;49;18;0;0;0;0;0;1;0;1
38;60;34;45;38;40;38;0;0;0;38;0;0;60;34;45;0;40;0;0;1;0;0;0;1
38;45;12;41;114;67;0;0;0;0;0;0;38;45;12;41;114;67;0;0;1;0;0;0;1
26;35;1;5;26;52;26;0;0;0;26;0;0;35;1;5;0;52;0;1;1;1;0;0;3
65;99;26;21;32;99;0;99;0;0;0;99;65;0;26;21;32;0;0;0;1;1;1;0;3
70;18;64;23;35;9;0;0;0;0;0;0;70;18;64;23;35;9;0;1;0;1;1;1;4
98;4;70;4;65;2;0;4;0;4;0;0;98;0;70;0;65;2;0;0;0;0;0;1;1
54;79;28;31;36;118;0;0;0;0;0;0;54;79;28;31;36;118;0;0;1;1;1;0;3
23;3;98;18;11;1;0;0;0;0;0;0;23;3;98;18;11;1;1;1;0;1;1;1;5
69;46;27;19;69;15;69;0;0;0;69;0;0;46;27;19;0;15;0;0;1;1;0;1;3
71;53;22;49;35;35;0;0;0;0;35;35;71;53;22;49;0;0;0;0;1;0;0;0;1
63;84;88;7;189;126;0;0;0;0;0;0;63;84;88;7;189;126;0;0;0;1;0;0;1
4;15;84;30;1;15;0;15;0;0;0;15;4;0;84;30;1;0;1;0;0;1;1;0;3
46;53;15;10;23;106;0;0;0;0;0;0;46;53;15;10;23;106;0;0;1;1;1;0;3
35;89;83;18;35;89;35;89;0;0;35;89;0;0;83;18;0;0;0;0;0;1;0;0;1
28;6;42;8;18;4;0;0;0;0;0;0;28;6;42;8;18;4;1;1;0;1;1;1;5
97;70;68;5;32;140;0;0;0;0;0;0;97;70;68;5;32;140;0;0;0;1;1;0;2
81;75;19;10;81;75;81;75;0;0;81;75;0;0;19;10;0;0;0;0;1;1;0;0;2
73;99;86;41;36;148;0;0;0;0;0;0;73;99;86;41;36;148;0;0;0;0;1;0;1
14;63;17;23;28;31;0;0;0;0;0;0;14;63;17;23;28;31;1;0;1;1;1;1;5
83;29;65;15;55;9;0;0;0;0;0;0;83;29;65;15;55;9;0;1;0;1;0;1;3
66;76;96;24;66;25;66;0;0;0;66;0;0;76;96;24;0;25;0;0;0;1;0;1;2
92;5;92;31;138;5;92;5;92;0;0;5;0;0;0;31;138;0;0;0;0;1;0;0;1
42;93;56;41;42;93;42;93;0;0;42;93;0;0;56;41;0;0;0;0;0;0;0;0;0
48;13;71;1;48;6;48;0;0;0;48;0;0;13;71;1;0;6;0;1;0;1;0;1;3
9;82;5;31;6;27;0;0;0;0;0;0;9;82;5;31;6;27;1;0;1;1;1;1;5
66;39;59;1;66;39;66;39;0;0;66;39;0;0;59;1;0;0;0;0;0;1;0;0;1
4;99;56;37;12;33;0;0;0;0;0;0;4;99;56;37;12;33;1;0;0;0;1;1;3
96;75;19;36;288;75;0;75;0;0;0;75;96;0;19;36;288;0;0;0;1;1;0;0;2
98;27;5;23;147;9;0;0;0;0;0;0;98;27;5;23;147;9;0;1;1;1;0;1;4
68;39;43;1;68;26;68;0;0;0;68;0;0;39;43;1;0;26;0;0;0;1;0;1;2
80;84;12;9;53;56;0;0;0;0;0;0;80;84;12;9;53;56;0;0;1;1;0;0;2
47;33;36;7;94;49;0;0;0;0;0;0;47;33;36;7;94;49;0;1;1;1;0;0;3
46;74;21;14;46;74;46;74;0;0;46;74;0;0;21;14;0;0;0;0;1;1;0;0;2
